area,ticket_date,waste_type,net_weight_kg
Boralesgamuwa UC,2012-01-01,MSW,17340.0
Boralesgamuwa UC,2012-01-02,MSW,25980.0
Boralesgamuwa UC,2012-01-03,MSW,29220.0
Boralesgamuwa UC,2012-01-04,MSW,7450.0
Boralesgamuwa UC,2012-01-05,MSW,10520.0
Boralesgamuwa UC,2012-01-06,MSW,29260.0
Boralesgamuwa UC,2012-01-07,MSW,11820.0
Boralesgamuwa UC,2012-01-08,MSW,20680.0
Boralesgamuwa UC,2012-01-09,MSW,23940.0
Boralesgamuwa UC,2012-01-10,MSW,23330.0
Boralesgamuwa UC,2012-01-11,MSW,21590.0
Boralesgamuwa UC,2012-01-12,MSW,25340.0
Boralesgamuwa UC,2012-01-13,MSW,22270.0
Boralesgamuwa UC,2012-01-14,MSW,15710.0
Boralesgamuwa UC,2012-01-15,MSW,11870.0
Boralesgamuwa UC,2012-01-16,MSW,23560.0
Boralesgamuwa UC,2012-01-17,MSW,22890.0
Boralesgamuwa UC,2012-01-18,MSW,27120.0
Boralesgamuwa UC,2012-01-19,MSW,30750.0
Boralesgamuwa UC,2012-01-20,MSW,20460.0
Boralesgamuwa UC,2012-01-21,MSW,17470.0
Boralesgamuwa UC,2012-01-22,MSW,10640.0
Boralesgamuwa UC,2012-01-23,MSW,21490.0
Boralesgamuwa UC,2012-01-24,MSW,16470.0
Boralesgamuwa UC,2012-01-25,MSW,21840.0
Boralesgamuwa UC,2012-01-26,MSW,32950.0
Boralesgamuwa UC,2012-01-27,MSW,25050.0
Boralesgamuwa UC,2012-01-28,MSW,17420.0
Boralesgamuwa UC,2012-01-29,MSW,11400.0
Boralesgamuwa UC,2012-01-30,MSW,22230.0
Boralesgamuwa UC,2012-01-31,MSW,22400.0
Boralesgamuwa UC,2012-02-01,MSW,17780.0
Boralesgamuwa UC,2012-02-02,MSW,29190.0
Boralesgamuwa UC,2012-02-03,MSW,24360.0
Boralesgamuwa UC,2012-02-04,MSW,27120.0
Boralesgamuwa UC,2012-02-05,MSW,42200.0
Boralesgamuwa UC,2012-02-06,MSW,7420.0
Boralesgamuwa UC,2012-02-07,MSW,25930.0
Boralesgamuwa UC,2012-02-08,MSW,35470.0
Boralesgamuwa UC,2012-02-09,MSW,11740.0
Boralesgamuwa UC,2012-02-10,MSW,32830.0
Boralesgamuwa UC,2012-02-11,MSW,34760.0
Boralesgamuwa UC,2012-02-12,MSW,7300.0
Boralesgamuwa UC,2012-02-13,MSW,21390.0
Boralesgamuwa UC,2012-02-14,MSW,24330.0
Boralesgamuwa UC,2012-02-15,MSW,30060.0
Boralesgamuwa UC,2012-02-16,MSW,32760.0
Boralesgamuwa UC,2012-02-17,MSW,30310.0
Boralesgamuwa UC,2012-02-18,MSW,17980.0
Boralesgamuwa UC,2012-02-19,MSW,12360.0
Boralesgamuwa UC,2012-02-20,MSW,19970.0
Boralesgamuwa UC,2012-02-21,MSW,24880.0
Boralesgamuwa UC,2012-02-22,MSW,32840.0
Boralesgamuwa UC,2012-02-23,MSW,23340.0
Boralesgamuwa UC,2012-02-24,MSW,23580.0
Boralesgamuwa UC,2012-02-25,MSW,13570.0
Boralesgamuwa UC,2012-02-26,MSW,7470.0
Boralesgamuwa UC,2012-02-27,MSW,24290.0
Boralesgamuwa UC,2012-02-28,MSW,33100.0
Boralesgamuwa UC,2012-02-29,MSW,29940.0
Boralesgamuwa UC,2012-03-01,MSW,30020.0
Boralesgamuwa UC,2012-03-02,MSW,22590.0
Boralesgamuwa UC,2012-03-03,MSW,15700.0
Boralesgamuwa UC,2012-03-04,MSW,26990.0
Boralesgamuwa UC,2012-03-05,MSW,37440.0
Boralesgamuwa UC,2012-03-06,MSW,21330.0
Boralesgamuwa UC,2012-03-07,MSW,24420.0
Boralesgamuwa UC,2012-03-08,MSW,18020.0
Boralesgamuwa UC,2012-03-09,MSW,30020.0
Boralesgamuwa UC,2012-03-10,MSW,31170.0
Boralesgamuwa UC,2012-03-11,MSW,34820.0
Boralesgamuwa UC,2012-03-12,MSW,24110.0
Boralesgamuwa UC,2012-03-13,MSW,30190.0
Boralesgamuwa UC,2012-03-14,MSW,27770.0
Boralesgamuwa UC,2012-03-15,MSW,27160.0
Boralesgamuwa UC,2012-03-16,MSW,24740.0
Boralesgamuwa UC,2012-03-17,MSW,13850.0
Boralesgamuwa UC,2012-03-18,MSW,6580.0
Boralesgamuwa UC,2012-03-19,MSW,28260.0
Boralesgamuwa UC,2012-03-20,MSW,22660.0
Boralesgamuwa UC,2012-03-21,MSW,28270.0
Boralesgamuwa UC,2012-03-22,MSW,26820.0
Boralesgamuwa UC,2012-03-23,MSW,26250.0
Boralesgamuwa UC,2012-03-24,MSW,19170.0
Boralesgamuwa UC,2012-03-25,MSW,8920.0
Boralesgamuwa UC,2012-03-26,MSW,26270.0
Boralesgamuwa UC,2012-03-27,MSW,30050.0
Boralesgamuwa UC,2012-03-28,MSW,28410.0
Boralesgamuwa UC,2012-03-29,MSW,29450.0
Boralesgamuwa UC,2012-03-30,MSW,22790.0
Boralesgamuwa UC,2012-03-31,MSW,20560.0
Boralesgamuwa UC,2012-04-01,MSW,35210.0
Boralesgamuwa UC,2012-04-02,MSW,14470.0
Boralesgamuwa UC,2012-04-03,MSW,11380.0
Boralesgamuwa UC,2012-04-04,MSW,24370.0
Boralesgamuwa UC,2012-04-05,MSW,36350.0
Boralesgamuwa UC,2012-04-06,MSW,8200.0
Boralesgamuwa UC,2012-04-07,MSW,41000.0
Boralesgamuwa UC,2012-04-08,MSW,24010.0
Boralesgamuwa UC,2012-04-09,MSW,13120.0
Boralesgamuwa UC,2012-04-10,MSW,25290.0
Boralesgamuwa UC,2012-04-11,MSW,16600.0
Boralesgamuwa UC,2012-04-12,MSW,34750.0
Boralesgamuwa UC,2012-04-13,MSW,8940.0
Boralesgamuwa UC,2012-04-14,MSW,3810.0
Boralesgamuwa UC,2012-04-15,MSW,10750.0
Boralesgamuwa UC,2012-04-16,MSW,19090.0
Boralesgamuwa UC,2012-04-17,MSW,31020.0
Boralesgamuwa UC,2012-04-18,MSW,31470.0
Boralesgamuwa UC,2012-04-19,MSW,33350.0
Boralesgamuwa UC,2012-04-20,MSW,30740.0
Boralesgamuwa UC,2012-04-21,MSW,23160.0
Boralesgamuwa UC,2012-04-22,MSW,8110.0
Boralesgamuwa UC,2012-04-23,MSW,26720.0
Boralesgamuwa UC,2012-04-24,MSW,14320.0
Boralesgamuwa UC,2012-04-25,MSW,33520.0
Boralesgamuwa UC,2012-04-26,MSW,34100.0
Boralesgamuwa UC,2012-04-27,MSW,41100.0
Boralesgamuwa UC,2012-04-28,MSW,28350.0
Boralesgamuwa UC,2012-04-29,MSW,5570.0
Boralesgamuwa UC,2012-04-30,MSW,29830.0
Boralesgamuwa UC,2012-05-01,MSW,28590.0
Boralesgamuwa UC,2012-05-02,MSW,10280.0
Boralesgamuwa UC,2012-05-03,MSW,26560.0
Boralesgamuwa UC,2012-05-04,MSW,23800.0
Boralesgamuwa UC,2012-05-05,MSW,11480.0
Boralesgamuwa UC,2012-05-06,MSW,36710.0
Boralesgamuwa UC,2012-05-07,MSW,31880.0
Boralesgamuwa UC,2012-05-08,MSW,9740.0
Boralesgamuwa UC,2012-05-09,MSW,28260.0
Boralesgamuwa UC,2012-05-10,MSW,27110.0
